datum,prirustkovy_pocet_testu,kumulativni_pocet_testu,prirustkovy_pocet_prvnich_testu,kumulativni_pocet_prvnich_testu
2020-08-07,9190,746801,7222,560858
2020-08-08,5493,752294,4383,565241
2020-08-09,2915,755209,2462,567703
2020-08-10,6455,761664,5082,572785
2020-08-11,8665,770329,7017,579802
2020-08-12,7920,778249,6652,586454
2020-08-13,7345,785594,5795,592249
2020-08-14,7940,793534,6459,598708
2020-08-15,5033,798567,4297,603005
2020-08-16,2962,801529,2501,605506
2020-08-17,7225,808754,6075,611581
2020-08-18,7661,816415,6399,617980
2020-08-19,7621,824036,6357,624337
2020-08-20,8234,832270,6780,631117
2020-08-21,9710,841980,7931,639048
2020-08-22,5115,847095,4045,643093
2020-08-23,2401,849496,2016,645109
2020-08-24,7410,856906,6121,651230
2020-08-25,8762,865668,7301,658531
2020-08-26,8863,874531,7362,665893
2020-08-27,9197,883728,7363,673256
2020-08-28,10822,894550,8838,682094
2020-08-29,6570,901120,5510,687604
2020-08-30,3944,905064,3189,690793
2020-08-31,9367,914431,7747,698540
2020-09-01,11137,925568,9372,707912
2020-09-02,11810,937378,9902,717814
2020-09-03,11541,948919,9761,727575
2020-09-04,13654,962573,10964,738539
2020-09-05,7468,970041,6241,744780
2020-09-06,4537,974578,3757,748537
2020-09-07,11604,986182,8970,757507
2020-09-08,16115,1002297,13107,770614
2020-09-09,15506,1017803,12711,783325
2020-09-10,16329,1034132,13065,796390
2020-09-11,19217,1053349,15415,811805
2020-09-12,13246,1066595,9705,821510
2020-09-13,7090,1073685,5237,826747
2020-09-14,17519,1091204,12621,839368
2020-09-15,20328,1111532,15568,854936
2020-09-16,20537,1132069,16847,871783
2020-09-17,23591,1155660,19000,890783
2020-09-18,21580,1177240,16731,907514
2020-09-19,15231,1192471,11761,919275
2020-09-20,10561,1203032,7608,926883
2020-09-21,19410,1222442,14159,941042
2020-09-22,22400,1244842,17952,958994
2020-09-23,22446,1267288,18607,977601
2020-09-24,23160,1290448,19214,996815
2020-09-25,23132,1313580,18722,1015537
2020-09-26,15388,1328968,12058,1027595
2020-09-27,10469,1339437,8209,1035804
2020-09-28,12218,1351655,9844,1045648
2020-09-29,18317,1369972,14303,1059951
2020-09-30,21092,1391064,17723,1077674
2020-10-01,23921,1414985,20042,1097716
2020-10-02,23639,1438624,20150,1117866
2020-10-03,15201,1453825,13116,1130982
2020-10-04,7776,1461601,6950,1137932
2020-10-05,17768,1479369,15520,1153452
2020-10-06,23045,1502414,21092,1174544
2020-10-07,24020,1526434,22012,1196556
2020-10-08,25073,1551507,23176,1219732
2020-10-09,27741,1579248,25383,1245115
2020-10-10,18123,1597371,16659,1261774
2020-10-11,11504,1608875,10678,1272452
2020-10-12,22046,1630921,19169,1291621
2020-10-13,31638,1662559,28785,1320406
2020-10-14,34858,1697417,31957,1352363
2020-10-15,34806,1732223,32345,1384708
2020-10-16,38723,1770946,35393,1420101
2020-10-17,29279,1800225,26961,1447062
2020-10-18,17240,1817465,15787,1462849
2020-10-19,31125,1848590,27348,1490197
2020-10-20,40597,1889187,37034,1527231
2020-10-21,45223,1934410,41491,1568722
2020-10-22,46425,1980835,42174,1610896
2020-10-23,45252,2026087,41363,1652259
2020-10-24,39192,2065279,36252,1688511
2020-10-25,21593,2086872,19862,1708373
2020-10-26,35597,2122469,30759,1739132
2020-10-27,47498,2169967,42711,1781843
2020-10-28,40084,2210051,36928,1818771
2020-10-29,42577,2252628,38117,1856888
2020-10-30,46822,2299450,41980,1898868
2020-10-31,36296,2335746,32770,1931638
2020-11-01,20643,2356389,18659,1950297
2020-11-02,32728,2389117,28630,1978927
2020-11-03,43323,2432440,38716,2017643
2020-11-04,45484,2477924,40971,2058614
2020-11-05,43233,2521157,38713,2097327
2020-11-06,40325,2561482,36090,2133417
2020-11-07,26242,2587724,23420,2156837
2020-11-08,13727,2601451,12037,2168874
2020-11-09,30467,2631918,25857,2194731
2020-11-10,37274,2669192,32735,2227466
2020-11-11,32935,2702127,28831,2256297
2020-11-12,31174,2733301,26908,2283205
2020-11-13,31297,2764598,27184,2310389
2020-11-14,16193,2780791,14242,2324631
2020-11-15,9019,2789810,7611,2332242
2020-11-16,26066,2815876,25699,2357941
2020-11-17,17590,2833466,17374,2375315
2020-11-18,24530,2857996,24072,2399387
2020-11-19,26702,2884698,26394,2425781
2020-11-20,25845,2910543,25577,2451358
2020-11-21,14584,2925127,14551,2465909
2020-11-22,7230,2932357,7230,2473139
2020-11-23,23621,2955978,23332,2496471
2020-11-24,24629,2980607,24367,2520838
2020-11-25,22635,3003242,22581,2543419
2020-11-26,20489,3023731,20218,2563637
2020-11-27,23315,3047046,23196,2586833
2020-11-28,12281,3059327,12281,2599114
2020-11-29,6450,3065777,6450,2605564
2020-11-30,22251,3088028,21969,2627533
2020-12-01,23032,3111060,22944,2650477
2020-12-02,20525,3131585,20525,2671002
