datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-11-06;2020-11-05;77;1578.950469000000;20;1298.067675900000;20;1;2;0.971173009395;5;0.340474200135;30;0;0
2020-11-07;2020-11-06;77;1544.323377900000;20;1301.351547800000;20;1;2;0.955258716650;5;0.340255631917;30;0;0
2020-11-08;2020-11-07;77;1499.905694200000;20;1286.480299100000;20;1;2;0.922304093850;5;0.337926165377;30;0;0
2020-11-09;2020-11-08;75;1465.381465100000;20;1264.337619500000;20;0;0;0.926803313993;5;0.334701234771;30;0;0
2020-11-10;2020-11-09;75;1425.873104300000;20;1239.286367700000;20;0;0;0.856558731713;5;0.324218623294;30;0;0
2020-11-11;2020-11-10;75;1364.071741900000;20;1207.901934200000;20;0;0;0.817616592968;5;0.319008492913;30;0;0
2020-11-12;2020-11-11;70;1326.125013400000;20;1202.460089200000;20;0;0;0.753423799320;0;0.304175392802;30;0;0
2020-11-13;2020-11-12;70;1277.714413700000;20;1184.164231100000;20;0;0;0.719708815684;0;0.294799616779;30;0;0
2020-11-14;2020-11-13;70;1219.307497400000;20;1151.841548400000;20;0;0;0.691402405686;0;0.286070580251;30;0;0
2020-11-15;2020-11-14;70;1151.689756200000;20;1107.133977200000;20;0;0;0.672564600960;0;0.280708661417;30;0;0
2020-11-16;2020-11-15;70;1108.085617400000;20;1072.137284600000;20;0;0;0.677343691641;0;0.277784245127;30;0;0
2020-11-17;2020-11-16;70;1072.280288800000;20;1049.197093300000;20;0;0;0.743405953766;0;0.281072957865;30;0;0
2020-11-18;2020-11-17;70;998.949030800000;20;987.178825500000;20;0;0;0.728328342948;0;0.281585950349;30;0;0
2020-11-19;2020-11-18;62;903.465037500000;16;915.355854400000;16;0;0;0.721309530870;0;0.273066099868;30;0;0
2020-11-20;2020-11-19;62;840.232958100000;16;858.075744800000;16;0;0;0.745505546347;0;0.269430449741;30;0;0
2020-11-21;2020-11-20;62;786.585747300000;16;804.689369100000;16;0;0;0.739644448365;0;0.267160611854;30;0;0
2020-11-22;2020-11-21;62;744.225303600000;16;767.722353300000;16;0;0;0.727701841122;0;0.262455523192;30;0;0
2020-11-23;2020-11-22;57;724.597363000000;16;750.646219000000;16;0;0;0.805926000200;5;0.228571834831;20;0;0
2020-11-24;2020-11-23;57;708.990391600000;16;742.811838800000;16;0;0;0.852875075371;5;0.225510729116;20;0;0
2020-11-25;2020-11-24;57;679.057548300000;16;716.306300800000;16;0;0;0.932843053417;5;0.228960422015;20;0;0
