datum,prirustkovy_pocet_nakazenych,kumulativni_pocet_nakazenych
2020-05-07,57,8045
2020-05-08,46,8091
2020-05-09,18,8109
2020-05-10,28,8137
2020-05-11,56,8193
2020-05-12,45,8238
2020-05-13,50,8288
2020-05-14,82,8370
2020-05-15,55,8425
2020-05-16,50,8475
2020-05-17,20,8495
2020-05-18,112,8607
2020-05-19,62,8669
2020-05-20,74,8743
2020-05-21,33,8776
2020-05-22,59,8835
2020-05-23,77,8912
2020-05-24,65,8977
2020-05-25,47,9024
2020-05-26,50,9074
2020-05-27,37,9111
2020-05-28,54,9165
2020-05-29,57,9222
2020-05-30,34,9256
2020-05-31,38,9294
2020-06-01,34,9328
2020-06-02,63,9391
2020-06-03,74,9465
2020-06-04,61,9526
2020-06-05,35,9561
2020-06-06,38,9599
2020-06-07,61,9660
2020-06-08,69,9729
2020-06-09,54,9783
2020-06-10,73,9856
2020-06-11,63,9919
2020-06-12,52,9971
2020-06-13,53,10024
2020-06-14,33,10057
2020-06-15,40,10097
2020-06-16,47,10144
2020-06-17,51,10195
2020-06-18,118,10313
2020-06-19,126,10439
2020-06-20,42,10481
2020-06-21,50,10531
2020-06-22,64,10595
2020-06-23,89,10684
2020-06-24,127,10811
2020-06-25,93,10904
2020-06-26,168,11072
2020-06-27,260,11332
2020-06-28,305,11637
2020-06-29,201,11838
2020-06-30,149,11987
2020-07-01,91,12078
2020-07-02,132,12210
2020-07-03,139,12349
2020-07-04,121,12470
2020-07-05,75,12545
2020-07-06,51,12596
2020-07-07,118,12714
2020-07-08,129,12843
2020-07-09,105,12948
2020-07-10,141,13089
2020-07-11,53,13142
2020-07-12,59,13201
2020-07-13,64,13265
2020-07-14,104,13369
2020-07-15,134,13503
2020-07-16,137,13640
2020-07-17,128,13768
2020-07-18,112,13880
2020-07-19,91,13971
2020-07-20,168,14139
2020-07-21,207,14346
2020-07-22,245,14591
2020-07-23,231,14822
2020-07-24,278,15100
2020-07-25,132,15232
2020-07-26,114,15346
2020-07-27,194,15540
2020-07-28,278,15818
2020-07-29,274,16092
2020-07-30,254,16346
2020-07-31,231,16577
2020-08-01,123,16700
2020-08-02,101,16801
2020-08-03,208,17009
2020-08-04,287,17296
2020-08-05,241,17537
2020-08-06,215,17752
2020-08-07,322,18074
2020-08-08,173,18247
2020-08-09,122,18369
2020-08-10,141,18510
2020-08-11,288,18798
2020-08-12,289,19087
2020-08-13,330,19417
2020-08-14,291,19708
2020-08-15,197,19905
2020-08-16,121,20026
2020-08-17,191,20217
2020-08-18,281,20498
2020-08-19,312,20810
2020-08-20,246,21056
2020-08-21,504,21560
2020-08-22,234,21794
2020-08-23,136,21930
2020-08-24,259,22189
2020-08-25,364,22553
2020-08-26,395,22948
2020-08-27,350,23298
2020-08-28,485,23783
2020-08-29,320,24103
2020-08-30,274,24377
2020-08-31,256,24633
2020-09-01,499,25132
2020-09-02,645,25777
2020-09-03,675,26452
2020-09-04,797,27249
2020-09-05,504,27753
2020-09-06,410,28163
2020-09-07,561,28724
2020-09-08,1161,29885
2020-09-09,1158,31043
2020-09-10,1382,32425
2020-09-11,1443,33868
2020-09-12,1537,35405
2020-09-13,791,36196
2020-09-14,1028,37224
2020-09-15,1675,38899
2020-09-16,2133,41032
2020-09-17,3124,44156
2020-09-18,2108,46264
2020-09-19,2045,48309
2020-09-20,984,49293
2020-09-21,1476,50769
2020-09-22,2388,53157
2020-09-23,2307,55464
2020-09-24,2906,58370
2020-09-25,2946,61316
2020-09-26,1981,63297
2020-09-27,1304,64601
2020-09-28,1284,65885
2020-09-29,1963,67848
2020-09-30,2926,70774
2020-10-01,3502,74276
2020-10-02,3795,78071
2020-10-03,2554,80625
2020-10-04,1840,82465
2020-10-05,3119,85584
2020-10-06,4458,90042
2020-10-07,5337,95379
2020-10-08,5394,100773
2020-10-09,8616,109389
2020-10-10,4636,114025
2020-10-11,3104,117129
2020-10-12,4308,121437
2020-10-13,8324,129761
2020-10-14,9545,139306
2020-10-15,9724,149030
2020-10-16,11104,160134
2020-10-17,8713,168847
2020-10-18,5058,173905
2020-10-19,8077,181982
2020-10-20,11985,193967
2020-10-21,14970,208937
2020-10-22,14155,223092
2020-10-23,15248,238340
2020-10-24,12473,250813
2020-10-25,7300,258113
2020-10-26,10272,268385
2020-10-27,15666,284051
2020-10-28,12978,297029
2020-10-29,13051,310080
2020-10-30,13603,323683
2020-10-31,11427,335110
2020-11-01,6551,341661
2020-11-02,9239,350900
2020-11-03,12090,362990
2020-11-04,15725,378715
2020-11-05,13234,391949
2020-11-06,11546,403495
2020-11-07,7720,411215
2020-11-08,3609,414824
2020-11-09,6048,420872
2020-11-10,9055,429927
2020-11-11,8920,438847
2020-11-12,7874,446721
2020-11-13,7358,454079
2020-11-14,4196,458275
2020-11-15,1890,460165
2020-11-16,5412,465577
2020-11-17,4246,469823
2020-11-18,5514,475337
2020-11-19,6470,481807
2020-11-20,5808,487615
2020-11-21,3191,490806
2020-11-22,1509,492315
2020-11-23,4379,496694
2020-11-24,5861,502555
2020-11-25,4929,507484
2020-11-26,4049,511533
2020-11-27,4462,515995
2020-11-28,2667,518662
2020-11-29,1074,519736
2020-11-30,3573,523309
2020-12-01,5180,528489
2020-12-02,4560,533049
2020-12-03,4624,537673
2020-12-04,4747,542420
2020-12-05,3312,545732
2020-12-06,1112,546844
2020-12-07,4251,551095
2020-12-08,5855,556950
2020-12-09,6413,563363
2020-12-10,5869,569232
2020-12-11,6208,575440
2020-12-12,3654,579094
2020-12-13,1998,581092
2020-12-14,5177,586269
2020-12-15,7906,594175
2020-12-16,8252,602427
2020-12-17,7613,610040
2020-12-18,8829,618869
2020-12-19,5317,624186
2020-12-20,3397,627583
2020-12-21,7937,635520
2020-12-22,10899,646419
2020-12-23,14118,660537
2020-12-24,4363,664900
2020-12-25,2669,667569
